Fecha,Región,Producto,Categoría,Laboratorio,Canal,Vendedor,Unidades,PrecioUnitario,Ventas,Inventario
2025-03-01,Bucaramanga,Amoxicilina Sandoz,Vitaminas,Genfar,Distribuidor,Ana Gómez,4,16942.12,67768.48,269
2025-03-01,Cartagena,Loratadina Pfizer,Analgésico,MK,Hospital,Juan Méndez,5,5620.26,28101.300000000003,295
2025-03-01,Medellín,Loratadina Pfizer,Antiinflamatorio,Sandoz,Clínica,Jorge Ruiz,4,16207.71,64830.84,433
2025-03-01,Medellín,Ibuprofeno Genfar,Antiinflamatorio,Pfizer,Distribuidor,Laura López,6,12268.94,73613.64,291
2025-03-01,Medellín,Acetaminofén MK,Analgésico,Sandoz,Farmacia,Jorge Ruiz,3,17517.92,52553.759999999995,124
2025-03-01,Bogotá,Amoxicilina Sandoz,Antiinflamatorio,Genfar,Farmacia,Camila Castro,10,14377.34,143773.4,335
2025-03-01,Cartagena,Doloran Forte,Analgésico,Sandoz,Distribuidor,Camila Castro,3,9021.17,27063.510000000002,255
2025-03-01,Medellín,Ibuprofeno Genfar,Antibiótico,Pfizer,Distribuidor,Paula Díaz,10,3655.05,36550.5,288
2025-03-01,Medellín,Azitromicina MK,Antigripal,Sandoz,Farmacia,David Torres,19,3476.51,66053.69,54
2025-03-01,Bucaramanga,Loratadina Pfizer,Antibiótico,Genfar,Hospital,Juan Méndez,8,7062.1,56496.8,291
2025-03-01,Barranquilla,Diclofenaco Pfizer,Antiinflamatorio,Sandoz,Farmacia,Camila Castro,14,18988.97,265845.58,458
2025-03-01,Cartagena,Amoxicilina Sandoz,Analgésico,Genfar,Hospital,Jorge Ruiz,21,1785.63,37498.23,252
2025-03-01,Cali,Loratadina Pfizer,Antiinflamatorio,Pfizer,Distribuidor,Camila Castro,10,13792.8,137928.0,397
2025-03-01,Medellín,Ibuprofeno Genfar,Antigripal,Sandoz,Hospital,Paula Díaz,13,24398.28,317177.64,168
2025-03-01,Cartagena,Amoxicilina Sandoz,Analgésico,Genfar,Hospital,Laura López,4,10353.37,41413.48,454
2025-03-01,Bogotá,Omeprazol Genfar,Antiinflamatorio,Genfar,Clínica,Paula Díaz,10,24920.97,249209.7,121
2025-03-01,Medellín,Omeprazol Genfar,Antigripal,MK,Hospital,David Torres,4,21037.23,84148.92,304
2025-03-01,Bucaramanga,Omeprazol Genfar,Vitaminas,MK,Hospital,Sofía Ríos,11,22724.05,249964.55,187
2025-03-01,Medellín,Amoxicilina Sandoz,Analgésico,Genfar,Distribuidor,Juan Méndez,5,12289.69,61448.450000000004,144
2025-03-01,Barranquilla,Vitamina C MK,Antiinflamatorio,Sandoz,Farmacia,Sofía Ríos,6,22046.46,132278.76,182
2025-03-01,Medellín,Azitromicina MK,Antiinflamatorio,MK,Hospital,Laura López,19,13330.31,253275.88999999998,288
2025-03-01,Manizales,Amoxicilina Sandoz,Antibiótico,Sandoz,Farmacia,Laura López,8,8006.62,64052.96,361
2025-03-01,Manizales,Acetaminofén MK,Antibiótico,Pfizer,Hospital,Carlos Pérez,12,12014.19,144170.28,251
2025-03-01,Bogotá,Omeprazol Genfar,Analgésico,Pfizer,Hospital,Jorge Ruiz,3,14080.39,42241.17,195
2025-03-01,Manizales,Ibuprofeno Genfar,Antigripal,Sandoz,Distribuidor,Laura López,3,14764.78,44294.340000000004,364
2025-03-01,Bogotá,Vitamina C MK,Vitaminas,Genfar,Farmacia,David Torres,2,6795.32,13590.64,399
2025-03-01,Manizales,Amoxicilina Sandoz,Analgésico,Pfizer,Clínica,Luis Martínez,8,17878.59,143028.72,75
2025-03-01,Barranquilla,Acetaminofén MK,Vitaminas,Genfar,Hospital,Jorge Ruiz,6,9106.46,54638.759999999995,308
2025-03-01,Medellín,Doloran Forte,Antigripal,Genfar,Clínica,Jorge Ruiz,5,24764.07,123820.35,468
2025-03-01,Cartagena,Doloran Forte,Vitaminas,Sandoz,Distribuidor,Carlos Pérez,7,4420.98,30946.859999999997,335
2025-03-01,Bucaramanga,Acetaminofén MK,Vitaminas,Genfar,Clínica,Jorge Ruiz,6,22834.85,137009.09999999998,112
2025-03-01,Bogotá,Doloran Forte,Analgésico,Genfar,Clínica,Ana Gómez,3,13998.65,41995.95,228
2025-03-01,Barranquilla,Amoxicilina Sandoz,Antigripal,Pfizer,Clínica,Laura López,4,14036.34,56145.36,135
2025-03-01,Bucaramanga,Gripadol,Antigripal,Pfizer,Hospital,Laura López,7,3918.53,27429.710000000003,164
2025-03-01,Barranquilla,Acetaminofén MK,Antiinflamatorio,MK,Clínica,Paula Díaz,6,20929.77,125578.62,160
2025-03-01,Cali,Amoxicilina Sandoz,Antiinflamatorio,Sandoz,Distribuidor,Juan Méndez,17,23090.64,392540.88,336
2025-03-01,Cartagena,Diclofenaco Pfizer,Analgésico,Pfizer,Farmacia,Luis Martínez,12,21250.33,255003.96000000002,469
2025-03-01,Bogotá,Vitamina C MK,Analgésico,Pfizer,Hospital,Ana Gómez,11,6843.8,75281.8,492
2025-03-01,Manizales,Acetaminofén MK,Analgésico,Sandoz,Hospital,Paula Díaz,2,22998.88,45997.76,98
2025-03-01,Barranquilla,Omeprazol Genfar,Analgésico,Genfar,Farmacia,Juan Méndez,3,11243.67,33731.01,264
2025-03-01,Cali,Acetaminofén MK,Antibiótico,MK,Distribuidor,Laura López,7,2358.92,16512.440000000002,434
2025-03-01,Manizales,Amoxicilina Sandoz,Vitaminas,Pfizer,Clínica,Jorge Ruiz,4,7862.5,31450.0,296
2025-03-01,Manizales,Acetaminofén MK,Antibiótico,Genfar,Distribuidor,David Torres,11,9472.87,104201.57,379
2025-03-01,Manizales,Omeprazol Genfar,Analgésico,Genfar,Clínica,Sofía Ríos,9,15201.48,136813.32,477
2025-03-01,Medellín,Acetaminofén MK,Antiinflamatorio,MK,Distribuidor,Luis Martínez,9,4184.59,37661.31,203
2025-03-01,Bucaramanga,Diclofenaco Pfizer,Vitaminas,MK,Clínica,Paula Díaz,16,1932.18,30914.88,66
2025-03-01,Cartagena,Loratadina Pfizer,Analgésico,MK,Distribuidor,Ana Gómez,3,4004.6,12013.8,286
2025-03-01,Manizales,Azitromicina MK,Vitaminas,MK,Farmacia,Laura López,1,11341.11,11341.11,359
2025-03-01,Bucaramanga,Doloran Forte,Antibiótico,Sandoz,Clínica,Jorge Ruiz,10,3103.87,31038.699999999997,293
2025-03-01,Bucaramanga,Doloran Forte,Antibiótico,Pfizer,Hospital,Camila Castro,2,19616.44,39232.88,476
2025-03-01,Bogotá,Amoxicilina Sandoz,Antigripal,Pfizer,Clínica,Sofía Ríos,1,3327.49,3327.49,61
2025-03-01,Barranquilla,Acetaminofén MK,Vitaminas,Pfizer,Clínica,Laura López,13,4715.24,61298.119999999995,315
2025-03-01,Manizales,Omeprazol Genfar,Analgésico,MK,Farmacia,David Torres,8,23013.97,184111.76,152
2025-03-01,Barranquilla,Doloran Forte,Antibiótico,Sandoz,Farmacia,Carlos Pérez,12,22297.46,267569.52,318
2025-03-01,Cali,Gripadol,Antibiótico,Pfizer,Hospital,Juan Méndez,0,2738.07,0.0,285
2025-03-01,Manizales,Azitromicina MK,Antiinflamatorio,Genfar,Hospital,Camila Castro,4,9404.71,37618.84,342
2025-03-01,Bucaramanga,Azitromicina MK,Analgésico,MK,Clínica,Camila Castro,3,4072.49,12217.47,429
2025-03-01,Cartagena,Vitamina C MK,Antibiótico,Genfar,Hospital,Camila Castro,4,18968.79,75875.16,156
2025-03-01,Medellín,Gripadol,Analgésico,Genfar,Farmacia,Jorge Ruiz,2,19820.24,39640.48,148
2025-03-01,Bogotá,Ibuprofeno Genfar,Antigripal,Genfar,Clínica,Jorge Ruiz,9,13608.33,122474.97,78
2025-03-01,Bogotá,Azitromicina MK,Antibiótico,MK,Distribuidor,Jorge Ruiz,6,20523.63,123141.78,365
2025-03-01,Bogotá,Loratadina Pfizer,Vitaminas,MK,Distribuidor,Sofía Ríos,5,20880.0,104400.0,402
2025-03-01,Cali,Azitromicina MK,Vitaminas,Genfar,Farmacia,Paula Díaz,6,17483.31,104899.86000000002,207
2025-03-01,Barranquilla,Omeprazol Genfar,Antigripal,MK,Hospital,Ana Gómez,2,6038.62,12077.24,403
2025-03-01,Cali,Amoxicilina Sandoz,Vitaminas,Sandoz,Hospital,Sofía Ríos,7,19384.16,135689.12,66
2025-03-01,Medellín,Vitamina C MK,Analgésico,MK,Farmacia,David Torres,6,16091.51,96549.06,444
2025-03-01,Cali,Doloran Forte,Antibiótico,MK,Clínica,Jorge Ruiz,8,5235.05,41880.4,244
2025-03-01,Barranquilla,Doloran Forte,Antiinflamatorio,Genfar,Farmacia,Paula Díaz,4,16505.36,66021.44,494
2025-03-01,Bogotá,Acetaminofén MK,Analgésico,Sandoz,Distribuidor,Carlos Pérez,8,21812.42,174499.36,365
2025-03-01,Barranquilla,Diclofenaco Pfizer,Antibiótico,MK,Clínica,Camila Castro,7,1528.95,10702.65,113
2025-03-01,Medellín,Doloran Forte,Vitaminas,MK,Distribuidor,Carlos Pérez,18,12778.56,230014.08,263
2025-03-01,Bogotá,Acetaminofén MK,Analgésico,Sandoz,Farmacia,David Torres,3,16026.66,48079.979999999996,463
2025-03-01,Barranquilla,Doloran Forte,Vitaminas,MK,Hospital,Ana Gómez,6,4618.82,27712.92,311
2025-03-01,Medellín,Azitromicina MK,Analgésico,Sandoz,Distribuidor,Luis Martínez,9,18281.04,164529.36000000002,61
2025-03-01,Bucaramanga,Omeprazol Genfar,Antiinflamatorio,Genfar,Farmacia,Sofía Ríos,12,6651.53,79818.36,496
2025-03-01,Bogotá,Doloran Forte,Antiinflamatorio,MK,Farmacia,Jorge Ruiz,11,18953.6,208489.59999999998,420
2025-03-01,Barranquilla,Diclofenaco Pfizer,Vitaminas,Pfizer,Farmacia,Carlos Pérez,11,16341.67,179758.37,383
2025-03-01,Bucaramanga,Gripadol,Vitaminas,MK,Farmacia,Camila Castro,9,7309.93,65789.37,489
2025-03-01,Manizales,Ibuprofeno Genfar,Vitaminas,Pfizer,Clínica,Jorge Ruiz,4,3227.17,12908.68,220
2025-03-01,Cartagena,Doloran Forte,Analgésico,Sandoz,Distribuidor,Camila Castro,6,15730.15,94380.9,453
2025-03-01,Bogotá,Gripadol,Antigripal,Pfizer,Farmacia,Juan Méndez,11,2714.88,29863.68,210
2025-03-01,Cartagena,Doloran Forte,Antibiótico,Sandoz,Hospital,Juan Méndez,24,24685.81,592459.4400000001,234
2025-03-01,Medellín,Omeprazol Genfar,Antibiótico,Pfizer,Distribuidor,David Torres,2,4781.8,9563.6,424
2025-03-01,Bucaramanga,Amoxicilina Sandoz,Antigripal,Genfar,Clínica,Luis Martínez,5,5169.85,25849.25,194
2025-03-01,Barranquilla,Diclofenaco Pfizer,Analgésico,Pfizer,Distribuidor,Camila Castro,17,17703.88,300965.96,118
2025-03-01,Cartagena,Azitromicina MK,Antigripal,Sandoz,Hospital,Carlos Pérez,4,15716.42,62865.68,373
2025-03-01,Cartagena,Gripadol,Vitaminas,MK,Distribuidor,David Torres,10,11797.05,117970.5,466
2025-03-01,Cali,Doloran Forte,Analgésico,Sandoz,Hospital,Jorge Ruiz,8,15295.95,122367.6,182
2025-03-01,Manizales,Gripadol,Vitaminas,Sandoz,Distribuidor,Ana Gómez,2,20605.16,41210.32,352
2025-03-01,Manizales,Loratadina Pfizer,Antiinflamatorio,Genfar,Distribuidor,Sofía Ríos,7,2916.28,20413.960000000003,469
2025-03-01,Bogotá,Gripadol,Antigripal,Genfar,Distribuidor,Jorge Ruiz,3,4364.32,13092.96,361
2025-03-01,Bucaramanga,Doloran Forte,Antigripal,MK,Distribuidor,Juan Méndez,3,11476.39,34429.17,190
2025-03-01,Cartagena,Omeprazol Genfar,Vitaminas,Sandoz,Farmacia,Jorge Ruiz,9,6483.05,58347.450000000004,213
2025-03-01,Manizales,Diclofenaco Pfizer,Analgésico,MK,Farmacia,Laura López,9,18816.53,169348.77,192
2025-03-01,Manizales,Acetaminofén MK,Antiinflamatorio,Sandoz,Clínica,Jorge Ruiz,10,7536.77,75367.70000000001,312
2025-03-01,Cali,Loratadina Pfizer,Antigripal,MK,Hospital,Ana Gómez,5,18526.15,92630.75,85
2025-03-01,Bogotá,Amoxicilina Sandoz,Vitaminas,Sandoz,Clínica,Camila Castro,1,9099.23,9099.23,98
2025-03-01,Bucaramanga,Gripadol,Antiinflamatorio,Sandoz,Clínica,Paula Díaz,5,7871.96,39359.8,340
2025-03-01,Cartagena,Gripadol,Antiinflamatorio,Sandoz,Hospital,Juan Méndez,4,24099.14,96396.56,449
2025-03-01,Cali,Amoxicilina Sandoz,Antiinflamatorio,Sandoz,Hospital,Ana Gómez,6,10883.92,65303.520000000004,280
2025-03-01,Barranquilla,Doloran Forte,Vitaminas,MK,Distribuidor,Carlos Pérez,2,2983.06,5966.12,307
2025-03-01,Bogotá,Azitromicina MK,Analgésico,Pfizer,Clínica,Juan Méndez,11,8073.03,88803.33,116
2025-03-01,Cartagena,Omeprazol Genfar,Antiinflamatorio,Genfar,Clínica,Paula Díaz,5,2038.0,10190.0,338
2025-03-01,Cartagena,Ibuprofeno Genfar,Analgésico,Sandoz,Hospital,Juan Méndez,2,13310.3,26620.6,74
2025-03-01,Barranquilla,Ibuprofeno Genfar,Vitaminas,Sandoz,Distribuidor,Juan Méndez,4,11828.52,47314.08,54
2025-03-01,Medellín,Acetaminofén MK,Antigripal,Genfar,Hospital,Carlos Pérez,4,2857.84,11431.36,129
2025-03-01,Barranquilla,Doloran Forte,Antiinflamatorio,Pfizer,Distribuidor,Laura López,5,6967.17,34835.85,305
2025-03-02,Bucaramanga,Vitamina C MK,Vitaminas,MK,Farmacia,Ana Gómez,12,11279.62,135355.44,363
2025-03-02,Bogotá,Amoxicilina Sandoz,Vitaminas,Genfar,Farmacia,Jorge Ruiz,8,7168.23,57345.84,101
2025-03-02,Bogotá,Gripadol,Antibiótico,Genfar,Distribuidor,David Torres,9,10721.25,96491.25,474
2025-03-02,Barranquilla,Doloran Forte,Antigripal,Sandoz,Farmacia,Laura López,7,21260.48,148823.36,393
2025-03-02,Barranquilla,Acetaminofén MK,Vitaminas,Genfar,Clínica,Paula Díaz,3,2624.02,7872.0599999999995,66
2025-03-02,Bucaramanga,Loratadina Pfizer,Antiinflamatorio,Sandoz,Hospital,Juan Méndez,6,9718.03,58308.18000000001,417
2025-03-02,Bogotá,Doloran Forte,Analgésico,MK,Clínica,Carlos Pérez,1,1745.05,1745.05,266
2025-03-02,Medellín,Diclofenaco Pfizer,Antigripal,Genfar,Distribuidor,Luis Martínez,4,4177.98,16711.92,451
2025-03-02,Bogotá,Omeprazol Genfar,Analgésico,Sandoz,Clínica,Jorge Ruiz,10,15904.08,159040.8,223
2025-03-02,Cali,Doloran Forte,Vitaminas,MK,Distribuidor,Ana Gómez,5,22162.81,110814.05,200
2025-03-02,Bogotá,Vitamina C MK,Antibiótico,MK,Distribuidor,Carlos Pérez,25,4036.68,100917.0,456
2025-03-02,Bucaramanga,Amoxicilina Sandoz,Antiinflamatorio,MK,Clínica,Paula Díaz,16,15373.17,245970.72,344
2025-03-02,Manizales,Azitromicina MK,Vitaminas,Sandoz,Hospital,Jorge Ruiz,3,1719.29,5157.87,411
2025-03-02,Bogotá,Gripadol,Antibiótico,MK,Farmacia,Ana Gómez,11,15951.99,175471.88999999998,260
2025-03-02,Barranquilla,Loratadina Pfizer,Antigripal,Pfizer,Farmacia,Juan Méndez,4,18468.67,73874.68,309
2025-03-02,Barranquilla,Azitromicina MK,Vitaminas,Genfar,Clínica,Ana Gómez,16,12802.86,204845.76,437
2025-03-02,Cartagena,Amoxicilina Sandoz,Antigripal,MK,Clínica,Sofía Ríos,1,13209.01,13209.01,79
2025-03-02,Manizales,Diclofenaco Pfizer,Vitaminas,Sandoz,Distribuidor,Sofía Ríos,2,11844.68,23689.36,165
2025-03-02,Barranquilla,Doloran Forte,Antibiótico,Pfizer,Clínica,Camila Castro,9,23428.16,210853.44,99
2025-03-02,Cali,Acetaminofén MK,Vitaminas,Genfar,Hospital,David Torres,23,7917.16,182094.68,351
2025-03-02,Bucaramanga,Diclofenaco Pfizer,Antibiótico,Genfar,Distribuidor,Paula Díaz,6,12801.29,76807.74,346
2025-03-02,Barranquilla,Vitamina C MK,Antiinflamatorio,Sandoz,Farmacia,Juan Méndez,7,16938.45,118569.15000000001,269
2025-03-02,Manizales,Omeprazol Genfar,Antibiótico,Sandoz,Hospital,Luis Martínez,3,24408.61,73225.83,277
2025-03-02,Barranquilla,Amoxicilina Sandoz,Antibiótico,MK,Hospital,Camila Castro,2,9629.13,19258.26,209
2025-03-02,Barranquilla,Amoxicilina Sandoz,Antibiótico,Sandoz,Clínica,Ana Gómez,10,10746.02,107460.20000000001,210
2025-03-02,Barranquilla,Gripadol,Vitaminas,Pfizer,Hospital,Camila Castro,6,21489.48,128936.88,247
2025-03-02,Medellín,Gripadol,Analgésico,Genfar,Farmacia,Carlos Pérez,2,17108.42,34216.84,216
2025-03-02,Manizales,Vitamina C MK,Antiinflamatorio,Sandoz,Hospital,Jorge Ruiz,6,24484.45,146906.7,128
2025-03-02,Barranquilla,Vitamina C MK,Antiinflamatorio,MK,Clínica,Camila Castro,7,14664.28,102649.96,428
2025-03-02,Cali,Gripadol,Antibiótico,Genfar,Clínica,Luis Martínez,3,5888.0,17664.0,442
2025-03-02,Medellín,Amoxicilina Sandoz,Antigripal,Sandoz,Distribuidor,David Torres,4,20141.64,80566.56,178
2025-03-02,Barranquilla,Omeprazol Genfar,Vitaminas,Sandoz,Clínica,Paula Díaz,20,11847.6,236952.0,351
2025-03-02,Manizales,Omeprazol Genfar,Analgésico,Genfar,Clínica,Paula Díaz,20,17196.12,343922.39999999997,296
2025-03-02,Cali,Loratadina Pfizer,Analgésico,Genfar,Distribuidor,Camila Castro,3,20839.52,62518.56,483
2025-03-02,Barranquilla,Vitamina C MK,Antibiótico,Sandoz,Farmacia,Carlos Pérez,8,20808.47,166467.76,90
2025-03-02,Medellín,Acetaminofén MK,Antigripal,Pfizer,Farmacia,Ana Gómez,4,16091.82,64367.28,321
2025-03-02,Cali,Gripadol,Antigripal,Sandoz,Distribuidor,Ana Gómez,5,5427.6,27138.0,70
2025-03-02,Bucaramanga,Acetaminofén MK,Analgésico,Genfar,Hospital,Juan Méndez,11,23550.16,259051.76,79
2025-03-02,Bogotá,Ibuprofeno Genfar,Analgésico,Sandoz,Distribuidor,Jorge Ruiz,9,24206.72,217860.48,324
2025-03-02,Bucaramanga,Ibuprofeno Genfar,Vitaminas,Sandoz,Distribuidor,Laura López,3,7184.5,21553.5,492
2025-03-02,Cali,Azitromicina MK,Antiinflamatorio,Sandoz,Distribuidor,Luis Martínez,5,22115.65,110578.25,317
2025-03-02,Cartagena,Acetaminofén MK,Antibiótico,MK,Farmacia,Paula Díaz,9,2995.56,26960.04,125
2025-03-02,Medellín,Azitromicina MK,Antibiótico,Sandoz,Farmacia,David Torres,10,15766.61,157666.1,136
2025-03-02,Medellín,Vitamina C MK,Analgésico,Genfar,Farmacia,David Torres,3,2572.75,7718.25,473
2025-03-02,Barranquilla,Acetaminofén MK,Vitaminas,Sandoz,Farmacia,David Torres,4,21572.2,86288.8,241
2025-03-02,Cartagena,Diclofenaco Pfizer,Antibiótico,MK,Farmacia,Camila Castro,4,20692.03,82768.12,241
2025-03-02,Bucaramanga,Acetaminofén MK,Antibiótico,Pfizer,Hospital,Laura López,8,10662.0,85296.0,207
2025-03-02,Manizales,Omeprazol Genfar,Analgésico,Sandoz,Hospital,Carlos Pérez,2,4190.46,8380.92,461
2025-03-02,Bogotá,Amoxicilina Sandoz,Antiinflamatorio,Genfar,Distribuidor,Jorge Ruiz,7,9045.41,63317.869999999995,308
2025-03-02,Bucaramanga,Ibuprofeno Genfar,Antibiótico,MK,Farmacia,David Torres,10,20981.92,209819.19999999998,326
2025-03-02,Medellín,Vitamina C MK,Antibiótico,Sandoz,Clínica,Ana Gómez,7,14249.56,99746.92,362
2025-03-02,Barranquilla,Vitamina C MK,Antiinflamatorio,Genfar,Distribuidor,Ana Gómez,1,13524.51,13524.51,370
2025-03-02,Cali,Doloran Forte,Antiinflamatorio,Genfar,Hospital,Carlos Pérez,1,16467.2,16467.2,354
2025-03-02,Medellín,Doloran Forte,Vitaminas,Sandoz,Distribuidor,Luis Martínez,6,24718.85,148313.09999999998,412
2025-03-02,Medellín,Diclofenaco Pfizer,Antibiótico,MK,Clínica,Paula Díaz,24,8297.25,199134.0,136
2025-03-02,Medellín,Vitamina C MK,Antiinflamatorio,Sandoz,Farmacia,Laura López,15,3572.74,53591.1,414
2025-03-02,Cali,Vitamina C MK,Vitaminas,Pfizer,Clínica,Sofía Ríos,1,8604.83,8604.83,479
2025-03-02,Cali,Loratadina Pfizer,Antiinflamatorio,Pfizer,Distribuidor,Sofía Ríos,10,5383.19,53831.899999999994,54
2025-03-02,Barranquilla,Doloran Forte,Vitaminas,MK,Clínica,Paula Díaz,1,15579.33,15579.33,295
2025-03-02,Bucaramanga,Omeprazol Genfar,Antiinflamatorio,Genfar,Distribuidor,Juan Méndez,3,12469.38,37408.14,357
2025-03-02,Barranquilla,Vitamina C MK,Antigripal,MK,Clínica,Laura López,12,14723.72,176684.63999999998,386
2025-03-02,Cali,Doloran Forte,Analgésico,Pfizer,Hospital,Sofía Ríos,7,12035.5,84248.5,253
2025-03-02,Cali,Gripadol,Analgésico,Sandoz,Hospital,Camila Castro,13,20144.76,261881.87999999998,448
2025-03-02,Bucaramanga,Loratadina Pfizer,Vitaminas,Sandoz,Distribuidor,Camila Castro,5,19503.72,97518.6,404
2025-03-02,Cartagena,Amoxicilina Sandoz,Antibiótico,Sandoz,Farmacia,Carlos Pérez,4,1643.09,6572.36,407
2025-03-02,Medellín,Gripadol,Antigripal,Genfar,Distribuidor,Carlos Pérez,10,8103.61,81036.09999999999,386
2025-03-02,Medellín,Omeprazol Genfar,Antigripal,Sandoz,Distribuidor,David Torres,19,3186.73,60547.87,240
2025-03-02,Cali,Ibuprofeno Genfar,Vitaminas,Pfizer,Distribuidor,Carlos Pérez,5,10933.97,54669.85,290
2025-03-02,Medellín,Diclofenaco Pfizer,Vitaminas,MK,Distribuidor,David Torres,1,18113.95,18113.95,374
2025-03-02,Barranquilla,Azitromicina MK,Vitaminas,Pfizer,Farmacia,Laura López,8,4553.35,36426.8,462
2025-03-02,Cali,Doloran Forte,Antiinflamatorio,Genfar,Distribuidor,Ana Gómez,7,1602.54,11217.779999999999,260
2025-03-02,Bogotá,Loratadina Pfizer,Antigripal,Genfar,Hospital,Ana Gómez,7,13259.43,92816.01000000001,65
2025-03-02,Cartagena,Azitromicina MK,Analgésico,Pfizer,Hospital,Luis Martínez,6,16721.26,100327.56,77
2025-03-02,Barranquilla,Amoxicilina Sandoz,Analgésico,Genfar,Distribuidor,Sofía Ríos,8,17171.37,137370.96,436
2025-03-02,Barranquilla,Vitamina C MK,Analgésico,MK,Distribuidor,Luis Martínez,14,18534.13,259477.82,168
2025-03-02,Medellín,Doloran Forte,Antiinflamatorio,Sandoz,Clínica,David Torres,3,1898.27,5694.8099999999995,82
2025-03-02,Manizales,Omeprazol Genfar,Antigripal,Sandoz,Farmacia,Paula Díaz,7,16691.78,116842.45999999999,206
2025-03-02,Barranquilla,Gripadol,Antigripal,Genfar,Clínica,Ana Gómez,12,17283.59,207403.08000000002,230
2025-03-02,Manizales,Amoxicilina Sandoz,Antiinflamatorio,Pfizer,Distribuidor,Laura López,15,9612.02,144180.30000000002,223
2025-03-02,Bogotá,Gripadol,Antigripal,MK,Farmacia,Juan Méndez,24,16326.66,391839.83999999997,64
2025-03-02,Cartagena,Diclofenaco Pfizer,Vitaminas,Genfar,Hospital,David Torres,10,23323.52,233235.2,119
2025-03-02,Cali,Azitromicina MK,Antiinflamatorio,Sandoz,Distribuidor,Luis Martínez,11,18225.49,200480.39,499
2025-03-02,Medellín,Gripadol,Vitaminas,Sandoz,Hospital,Juan Méndez,5,7312.5,36562.5,150
2025-03-02,Bucaramanga,Diclofenaco Pfizer,Antibiótico,Sandoz,Hospital,Luis Martínez,14,21428.99,300005.86000000004,413
2025-03-02,Bogotá,Diclofenaco Pfizer,Antiinflamatorio,MK,Distribuidor,Ana Gómez,18,23108.98,415961.64,453
2025-03-02,Cali,Loratadina Pfizer,Antibiótico,Genfar,Clínica,Jorge Ruiz,16,9892.35,158277.6,373
2025-03-03,Medellín,Gripadol,Analgésico,MK,Farmacia,Juan Méndez,5,3892.39,19461.95,450
